dfk_flurst,gwm,kf,fa,dvel,max_demand_pump,buildings_per_plot
8662/1573/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0442035989963056,1
8662/1573/12,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.192580019534443,1
8662/1575/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.144455531312322,1
8662/1575/8,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.103660531843594,1
8662/1575/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0288966775509203,1
8662/1580/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.102117022223494,1
8662/1575/12,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.057911045705692,1
8662/1576/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.766214335502011,1
8662/1576/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.211070106417759,2
8662/1578/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0977835167309641,1
8662/1578/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.063086828922418,1
8662/1578/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0458823767450224,1
8662/1578/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.110368647628077,1
8662/1578/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0749296774364926,1
8662/1578/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0490765036616863,1
8662/1578/16,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.123875546882663,1
8662/1578/17,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.110391195646843,1
8662/1578/18,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0872098213293229,1
8662/1578/19,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0378942621048158,1
8662/1578/20,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.174541532513813,1
8662/1578/22,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.106386339417073,1
8662/1578/23,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0409697042861346,1
8662/1578/27,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.132365329510903,1
8662/1580/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0359405466783274,1
8662/1580/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.198160021250858,1
8662/1581/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.733973325963645,2
8662/1581/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.119881305865237,1
8662/1587/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.141603636185307,1
8662/1578/29,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.468520923921928,1
8662/1581/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0874398404142283,1
8662/1581/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0703948372674666,1
8662/1582/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.115665631640893,1
8662/1582/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.219087805195017,1
8662/1582/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0303888184522836,1
8662/1582/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0330567538496747,1
8662/1583/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.230007459419034,1
8662/1583/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0581203784287442,1
8662/1583/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0535075712721091,1
8662/1583/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0958062832657665,1
8662/1583/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0950382099012652,1
8662/1583/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.132804162757054,1
8662/1583/8,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.216647983334423,2
8662/1583/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0983741880128813,3
8662/1584/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0563316215222153,1
8662/1584/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.104070357913493,2
8662/1584/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.122689545722039,1
8662/1584/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0710140805734462,1
8662/1584/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0680667921012195,1
8662/1584/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.105955562003466,1
8662/1584/8,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.19686973702063,1
8662/1584/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0870706426749926,2
8662/1584/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0481418058325432,1
8662/1584/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.253943818043613,1
8662/1586/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.05946145895315,1
8662/1586/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0838225101350247,1
8662/1586/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.205338201523523,1
8662/1586/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0803530097345277,1
8662/1586/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0715583868146598,1
8662/1586/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0526865258116193,1
8662/1586/12,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.123537693914081,1
8662/1586/13,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.139830030405074,1
8662/1586/14,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.129405116144114,1
8662/1587/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.19358178217053,2
8662/1587/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.10921276919116,1
8662/1587/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.145055858166868,1
8662/1587/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.037326949071501,1
8662/1587/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0290838221303168,1
8662/1587/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0491310983833001,1
8662/1587/8,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.170506461609507,2
8662/1587/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.13236226293033,1
8662/1587/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.228826976411547,1
8662/1587/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.116670102780593,1
8662/1590/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.205826250572138,1
8662/1589/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0874811455438585,1
8662/1589/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0403733908196293,1
8662/1589/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.126541603009448,1
